id,visitorReviewsTotal,ratingReviewsTotal,avgRating,rating_total_count,Counts_per_Scores,imageReviewCount,authorCount,maxSingleReviewScoreCount,themes,review_menus,votedKeywords_totalCount,votedKeywords_reviewCount,votedKeywords_userCount,votedKeywords
17041696,198,94.0,4.5,198,"[{'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 65, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",40,134,65.0,"{'맛': 66, '만족도': 41, '서비스': 18, '음식량': 6, '가격': 5, '메뉴': 3, '주차': 2, '위치': 2, '대기시간': 1}","{'뿔소라': 19, '갈치': 16, '소라': 16, '갈치구이': 9, '옥돔': 8, '전복': 8, '라면': 6, '옥돔구이': 5, '해물탕': 5, '전복죽': 4, '해물뚝배기': 4, '해물라면': 3, '전복뚝배기': 3, '고등어구이': 3, '갈치조림': 3, '생선': 2, '생선구이': 2, '꽃게': 2, '고기': 2, '고등어': 2, '완탕': 1, '덮밥': 1, '탕수육': 1, '짬뽕': 1, '전복해물뚝배기': 1, '오분자기': 1, '오분자기뚝배기': 1, '새우': 1, '찌개': 1}",332.0,109.0,103.0,"{'음식이 맛있어요': 84, '친절해요': 50, '재료가 신선해요': 45, '주차하기 편해요': 34, '가성비가 좋아요': 30, '매장이 청결해요': 21, '특별한 메뉴가 있어요': 19, '양이 많아요': 18, '매장이 넓어요': 14, '혼밥하기 좋아요': 8, '단체모임 하기 좋아요': 5, '뷰가 좋아요': 2, '특별한 날 가기 좋아요': 1, '화장실이 깨끗해요': 1}"
1026781105,100,42.0,4.56,100,"[{'count': 33, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}]",25,80,33.0,"{'맛': 39, '만족도': 19, '서비스': 7, '음식량': 2, '가격': 1}","{'수제비': 27, '호박전': 8, '만두': 2, '칼국수': 2, '왕만두': 1, '부침개': 1, '콩국': 1, '갈치국': 1, '갈치': 1, '파전': 1}",100.0,47.0,43.0,"{'특별한 메뉴가 있어요': 30, '친절해요': 22, '주차하기 편해요': 12, '매장이 청결해요': 10, '가성비가 좋아요': 5, '뷰가 좋아요': 5, '디저트가 맛있어요': 3, '음료가 맛있어요': 3, '커피가 맛있어요': 2, '좌석이 편해요': 2, '인테리어가 멋져요': 2, '대화하기 좋아요': 2, '사진이 잘 나와요': 1, '집중하기 좋아요': 1}"
299964938,214,97.0,4.47,214,"[{'count': 37, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 20, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 89, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",53,178,89.0,"{'맛': 70, '만족도': 53, '서비스': 16, '음식량': 5, '목적': 3, '청결도': 2, '메뉴': 2, '배달': 1, '가격': 1, '분위기': 1}","{'초밥': 44, '튀김': 17, '새우튀김': 11, '새우': 11, '우동': 8, '생선': 7, '왕새우튀김': 5, '왕새우': 5, '샐러드': 5, '사케': 3, '연어': 3, '참치': 3, '고등어': 2, '모듬회': 2, '메밀소바기': 1, '메밀소바': 1, '전복': 1, '도미': 1, '농어': 1, '민어': 1, '회초밥': 1, '알밥': 1, '숙성회': 1, '간장게장': 1, '게장': 1, '새우장': 1, '꽃게': 1, '광어': 1, '연어초밥': 1, '계란말이': 1, '장어': 1, '갈비': 1, '참돔': 1, '돼지갈비': 1, '목살': 1}",168.0,54.0,51.0,"{'음식이 맛있어요': 45, '재료가 신선해요': 32, '친절해요': 31, '혼밥하기 좋아요': 24, '특별한 메뉴가 있어요': 10, '양이 많아요': 8, '매장이 청결해요': 8, '가성비가 좋아요': 6, '인테리어가 멋져요': 2, '특별한 날 가기 좋아요': 2}"
1638746553,3,,0.0,3,[],3,3,,"{'만족도': 2, '서비스': 1, '맛': 1}","{'수제돈까스': 2, '과일': 1, '커피': 1, '돈까스정식': 1, '경양식돈가스': 1, '돈까스': 1}",15.0,3.0,3.0,"{'음식이 맛있어요': 3, '재료가 신선해요': 3, '친절해요': 3, '주차하기 편해요': 3, '혼밥하기 좋아요': 1, '양이 많아요': 1, '가성비가 좋아요': 1}"
1562418700,144,59.0,4.45,144,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 26, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 19, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 57, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}]",54,116,57.0,"{'만족도': 42, '맛': 41, '분위기': 20, '메뉴': 19, '전망': 10, '서비스': 5, '가격': 2, '위치': 1, '청결도': 1, '주차': 1}","{'밀크티': 16, '커피': 6, '홍차': 5, '브라우니': 5, '케이크': 2, '로얄밀크티': 2, '레몬케이크': 1, '블랙밀크티': 1}",130.0,37.0,36.0,"{'차가 맛있어요': 25, '뷰가 좋아요': 19, '인테리어가 멋져요': 15, '음료가 맛있어요': 14, '사진이 잘 나와요': 10, '디저트가 맛있어요': 9, '특별한 메뉴가 있어요': 8, '친절해요': 7, '주차하기 편해요': 6, '대화하기 좋아요': 5, '매장이 청결해요': 4, '화장실이 깨끗해요': 4, '좌석이 편해요': 3, '집중하기 좋아요': 1}"
1790039130,146,59.0,0.0,146,[],30,59,,"{'맛': 38, '만족도': 32, '목적': 12, '서비스': 5, '위치': 1, '예약': 1, '주차': 1, '가격': 1}","{'쿠키': 6, '커피': 5, '에이드': 5, '바질': 5, '푸딩': 4, '바나나푸딩': 4, '녹차': 3, '아메리카노': 2, '라떼': 1, '우유': 1}",274.0,140.0,121.0,"{'디저트가 맛있어요': 83, '특별한 메뉴가 있어요': 44, '커피가 맛있어요': 35, '친절해요': 33, '음료가 맛있어요': 22, '주차하기 편해요': 12, '매장이 청결해요': 12, '가성비가 좋아요': 8, '뷰가 좋아요': 6, '인테리어가 멋져요': 5, '사진이 잘 나와요': 5, '대화하기 좋아요': 5, '좌석이 편해요': 3, '화장실이 깨끗해요': 1}"
34509501,33,12.0,4.7,33,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}]",8,23,15.0,"{'맛': 13, '만족도': 13, '서비스': 7, '예약': 3, '메뉴': 1}","{'가정식백반': 5, '계란말이': 1, '쥬스': 1, '한라봉쥬스': 1, '백반': 1, '케이크': 1, '미역국': 1}",60.0,17.0,17.0,"{'음식이 맛있어요': 13, '가성비가 좋아요': 11, '재료가 신선해요': 10, '친절해요': 9, '특별한 메뉴가 있어요': 6, '양이 많아요': 5, '뷰가 좋아요': 3, '혼밥하기 좋아요': 1, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}"
17053569,5,1.0,0.0,5,[],1,5,,{'맛': 1},"{'아이스크림': 1, '해물라면': 1, '라면': 1}",5.0,4.0,4.0,"{'재료가 신선해요': 2, '음식이 맛있어요': 1, '친절해요': 1, '특별한 메뉴가 있어요': 1}"
1253430121,15,5.0,4.75,15,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",5,5,1.0,"{'맛': 7, '만족도': 5, '음식량': 3, '서비스': 2}","{'새우': 1, '오징어': 1}",44.0,14.0,13.0,"{'음식이 맛있어요': 14, '재료가 신선해요': 9, '양이 많아요': 9, '가성비가 좋아요': 6, '친절해요': 4, '특별한 메뉴가 있어요': 1, '매장이 청결해요': 1}"
1464431382,107,28.0,4.78,107,"[{'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 32, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",50,65,32.0,"{'맛': 63, '만족도': 46, '서비스': 40, '목적': 6, '주차': 2, '가격': 1, '전망': 1}","{'고기': 37, '찌개': 19, '흑돼지': 14, '김치찌개': 10, '된장찌개': 10, '목살': 6, '김치말이국수': 5, '국수': 5, '아이스크림': 2, '흑돼지김치찌개': 1, '삼겹살': 1, '오징어': 1, '오징어볶음': 1, '흑돼지구이': 1, '돼지고기': 1, '소고기': 1, '가정식백반': 1, '특수부위': 1, '초콜릿': 1}",282.0,92.0,89.0,"{'음식이 맛있어요': 83, '친절해요': 64, '재료가 신선해요': 40, '주차하기 편해요': 22, '가성비가 좋아요': 21, '매장이 청결해요': 19, '특별한 메뉴가 있어요': 9, '매장이 넓어요': 6, '화장실이 깨끗해요': 5, '뷰가 좋아요': 5, '양이 많아요': 3, '단체모임 하기 좋아요': 2, '혼밥하기 좋아요': 1, '인테리어가 멋져요': 1, '특별한 날 가기 좋아요': 1}"
1085540356,646,92.0,4.18,646,"[{'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 51, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 18, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 11, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",412,385,51.0,"{'맛': 375, '만족도': 240, '서비스': 175, '음식량': 33, '분위기': 16, '가격': 9, '목적': 8, '메뉴': 8, '청결도': 7, '위치': 4, '배달': 3, '전망': 1, '주차': 1}","{'곱창': 155, '볶음밥': 34, '안창살': 34, '대창': 27, '계란찜': 27, '한우': 18, '모듬구이': 18, '한우곱창': 17, '순두부': 14, '고기': 13, '찌개': 11, '순두부찌개': 10, '라면': 6, '전골': 6, '특양': 6, '소곱창': 4, '국수': 4, '대창구이': 4, '양대창': 3, '곱창전골': 3, '흑돼지': 3, '맥주': 3, '부추무침': 3, '막창': 2, '모듬곱창': 2, '파김치': 2, '곱도리탕': 2, '김치말이국수': 1, '젤리': 1, '양곱창': 1, '소한마리': 1, '한우대창': 1, '육포': 1, '마라탕': 1}",1932.0,543.0,519.0,"{'음식이 맛있어요': 469, '친절해요': 330, '재료가 신선해요': 228, '매장이 넓어요': 219, '매장이 청결해요': 205, '인테리어가 멋져요': 107, '양이 많아요': 78, '가성비가 좋아요': 74, '단체모임 하기 좋아요': 59, '특별한 메뉴가 있어요': 55, '주차하기 편해요': 53, '특별한 날 가기 좋아요': 28, '뷰가 좋아요': 14, '화장실이 깨끗해요': 10, '혼밥하기 좋아요': 3}"
1199549971,39,21.0,4.67,39,"[{'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",14,5,2.0,"{'맛': 15, '만족도': 13, '서비스': 4, '분위기': 3, '전망': 1, '가격': 1, '목적': 1}","{'고기': 9, '소고기': 6, '한우': 3, '국수': 2, '김치말이국수': 2, '두부': 1, '돼지고기': 1, '미역국': 1, '소고기미역국': 1, '갈비살': 1, '짬뽕탕': 1}",165.0,37.0,16.0,"{'음식이 맛있어요': 30, '친절해요': 25, '뷰가 좋아요': 23, '재료가 신선해요': 19, '가성비가 좋아요': 17, '매장이 청결해요': 11, '주차하기 편해요': 10, '특별한 날 가기 좋아요': 7, '단체모임 하기 좋아요': 7, '매장이 넓어요': 5, '화장실이 깨끗해요': 5, '인테리어가 멋져요': 3, '양이 많아요': 2, '특별한 메뉴가 있어요': 1}"
1309481215,34,23.0,4.58,34,"[{'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 11, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",0,20,11.0,"{'맛': 8, '음식량': 2, '만족도': 2, '서비스': 1, '메뉴': 1}","{'냉면': 1, '생갈비': 1, '갈비': 1, '양념갈비': 1, '고기': 1, '갈비탕': 1, '된장찌개': 1}",41.0,16.0,7.0,"{'음식이 맛있어요': 14, '양이 많아요': 8, '재료가 신선해요': 6, '친절해요': 5, '가성비가 좋아요': 5, '단체모임 하기 좋아요': 2, '매장이 넓어요': 1}"
1236843666,61,21.0,4.78,61,"[{'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}]",23,38,17.0,"{'맛': 26, '만족도': 15, '서비스': 9, '분위기': 3, '목적': 2, '음식량': 1, '배달': 1}","{'라자냐': 9, '치즈': 7, '맥앤치즈': 3, '케이크': 3, '아메리카노': 2, '팔라펠': 2, '퀘사디아': 1, '가정식백반': 1, '와인': 1, '하우스와인': 1, '소고기': 1, '커피': 1, '쿠키': 1, '마늘빵': 1, '샐러드': 1}",149.0,46.0,44.0,"{'음식이 맛있어요': 40, '친절해요': 22, '인테리어가 멋져요': 19, '특별한 메뉴가 있어요': 19, '재료가 신선해요': 12, '매장이 넓어요': 9, '매장이 청결해요': 8, '주차하기 편해요': 6, '화장실이 깨끗해요': 4, '양이 많아요': 2, '가성비가 좋아요': 2, '단체모임 하기 좋아요': 2, '뷰가 좋아요': 2, '혼밥하기 좋아요': 1, '특별한 날 가기 좋아요': 1}"
31161124,199,100.0,4.77,199,"[{'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 44, 'score': None, '__typename': 'VisitorReviewScore'}]",37,175,44.0,"{'맛': 42, '만족도': 38, '가격': 7, '서비스': 7, '분위기': 3, '메뉴': 3, '목적': 2, '음식량': 1, '예약': 1, '위치': 1}","{'스테이크': 9, '크로와상': 3, '딤섬': 2, '안심스테이크': 2, '갈비': 2, '양갈비': 2, '케이크': 1, '에스프레소': 1, '연어': 1, '새우': 1, '과일': 1, '연어회': 1, '도미': 1, '피자': 1, '파스타': 1, '오일파스타': 1, '탕수육': 1, '게살수프': 1, '쥬스': 1, '당근주스': 1, '랍스터': 1, '짬뽕': 1, '고기': 1, '쌀국수': 1, '가자미': 1, '토스트': 1, '프렌치토스트': 1, '전복': 1, '아이스크림': 1, '바닐라아이스크림': 1, '탄산음료': 1}",392.0,144.0,133.0,"{'음식이 맛있어요': 111, '재료가 신선해요': 59, '메뉴 구성이 알차요': 41, '친절해요': 36, '매장이 넓어요': 30, '특별한 메뉴가 있어요': 30, '매장이 청결해요': 20, '특별한 날 가기 좋아요': 19, '인테리어가 멋져요': 18, '주차하기 편해요': 8, '가성비가 좋아요': 8, '뷰가 좋아요': 8, '단체모임 하기 좋아요': 2, '혼밥하기 좋아요': 1, '화장실이 깨끗해요': 1}"
17077443,180,62.0,4.25,180,"[{'count': 22, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 69, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 14, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}]",44,123,69.0,"{'맛': 82, '만족도': 52, '서비스': 30, '음식량': 5, '목적': 3, '가격': 2, '청결도': 2, '위치': 1, '대기시간': 1, '주차': 1}","{'고기': 36, '흑돼지': 21, '오겹살': 8, '한우': 6, '흑돼지오겹살': 5, '육회': 5, '소고기': 4, '된장찌개': 4, '목살': 3, '생고기': 3, '찌개': 3, '차돌박이': 2, '육회비빔밥': 2, '비빔밥': 2, '가정식백반': 2, '삼겹살': 2, '냉면': 2, '돼지고기': 1, '근고기': 1, '파김치': 1, '한우육회': 1, '한우차돌박이': 1, '물회': 1, '육회물회': 1, '콜라': 1, '열무김치': 1, '사이다': 1, '갓김치': 1, '배추김치': 1, '안심': 1, '양념게장': 1, '게장': 1, '콩나물무침': 1, '시금치나물': 1, '돼지갈비': 1, '갈비': 1, '한우모듬': 1}",167.0,67.0,63.0,"{'음식이 맛있어요': 55, '친절해요': 26, '재료가 신선해요': 24, '가성비가 좋아요': 16, '단체모임 하기 좋아요': 8, '혼밥하기 좋아요': 7, '주차하기 편해요': 7, '양이 많아요': 6, '매장이 넓어요': 6, '특별한 날 가기 좋아요': 4, '특별한 메뉴가 있어요': 4, '매장이 청결해요': 3, '화장실이 깨끗해요': 1}"
16899342,300,201.0,4.59,300,"[{'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 45, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 147, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 23, 'score': None, '__typename': 'VisitorReviewScore'}]",12,172,147.0,"{'만족도': 27, '맛': 21, '서비스': 20, '목적': 2, '가격': 1, '청결도': 1, '주차': 1}","{'도넛': 6, '베이글': 1, '콜라': 1, '라떼': 1, '아메리카노': 1, '커피': 1}",128.0,70.0,65.0,"{'친절해요': 34, '디저트가 맛있어요': 22, '매장이 청결해요': 19, '커피가 맛있어요': 17, '가성비가 좋아요': 9, '좌석이 편해요': 8, '음료가 맛있어요': 5, '집중하기 좋아요': 4, '대화하기 좋아요': 4, '특별한 메뉴가 있어요': 3, '인테리어가 멋져요': 1, '주차하기 편해요': 1, '뷰가 좋아요': 1}"
1553283413,88,54.0,4.53,88,"[{'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 34, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}]",6,59,34.0,"{'맛': 18, '만족도': 6, '서비스': 2, '가격': 1, '메뉴': 1, '배달': 1}","{'피자': 10, '페퍼로니': 1, '치즈볼': 1, '치즈': 1, '치즈피자': 1, '단호박피자': 1, '핫치킨': 1, '치킨': 1, '콜라': 1, '자몽차': 1}",50.0,29.0,24.0,"{'음식이 맛있어요': 24, '친절해요': 10, '재료가 신선해요': 5, '매장이 청결해요': 4, '주차하기 편해요': 3, '양이 많아요': 1, '가성비가 좋아요': 1, '매장이 넓어요': 1, '화장실이 깨끗해요': 1}"
108145150,235,148.0,4.38,235,"[{'count': 19, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 39, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 75, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 16, 'score': None, '__typename': 'VisitorReviewScore'}]",31,177,75.0,"{'맛': 52, '만족도': 29, '서비스': 5, '음식량': 3, '분위기': 1, '청결도': 1}","{'순대': 22, '순대국': 16, '국밥': 9, '국수': 8, '고기국수': 7, '순대국밥': 6, '흑돼지': 5, '고기': 3, '치즈': 3, '만두': 2, '깍두기': 1, '철판순대볶음': 1, '철판볶음': 1, '얼큰순대국밥': 1, '모듬순대': 1, '내장국밥': 1, '얼큰순대국': 1, '해장국': 1, '피순대': 1, '찰순대': 1}",128.0,78.0,77.0,"{'음식이 맛있어요': 42, '친절해요': 13, '가성비가 좋아요': 12, '주차하기 편해요': 11, '뷰가 좋아요': 10, '매장이 넓어요': 9, '혼밥하기 좋아요': 8, '재료가 신선해요': 6, '양이 많아요': 5, '특별한 메뉴가 있어요': 5, '인테리어가 멋져요': 3, '매장이 청결해요': 2, '특별한 날 가기 좋아요': 1, '화장실이 깨끗해요': 1}"
1827698364,82,39.0,4.36,82,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 30, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",12,59,30.0,"{'맛': 23, '만족도': 10, '서비스': 4, '음식량': 3, '메뉴': 3, '배달': 2, '대기시간': 1, '위치': 1, '가격': 1}","{'족발': 8, '고기': 2, '통닭': 1, '닭발': 1, '부대찌개': 1, '찌개': 1, '불족발': 1, '해장국': 1, '황태': 1, '황태해장국': 1, '막국수': 1}",46.0,22.0,19.0,"{'음식이 맛있어요': 17, '재료가 신선해요': 8, '매장이 청결해요': 5, '친절해요': 4, '양이 많아요': 4, '매장이 넓어요': 3, '특별한 메뉴가 있어요': 2, '인테리어가 멋져요': 1, '주차하기 편해요': 1, '가성비가 좋아요': 1}"
38711086,401,219.0,4.44,401,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 36, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 11, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 135, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 79, 'score': None, '__typename': 'VisitorReviewScore'}]",49,273,135.0,"{'맛': 124, '만족도': 37, '서비스': 26, '음식량': 5, '가격': 4, '메뉴': 2, '목적': 1, '청결도': 1, '예약': 1}","{'김밥': 73, '치즈': 10, '만두': 9, '참치': 5, '치즈김밥': 5, '참치김밥': 4, '더블치즈김밥': 4, '땡초김밥': 3, '멸치김밥': 2, '라면': 2, '소고기': 2, '장아찌': 1, '청귤에이드': 1, '에이드': 1, '꼬마김밥': 1, '진미채김밥': 1, '고기만두': 1, '김치김밥': 1, '소고기김밥': 1}",319.0,145.0,135.0,"{'음식이 맛있어요': 114, '친절해요': 55, '재료가 신선해요': 54, '가성비가 좋아요': 28, '매장이 청결해요': 19, '특별한 메뉴가 있어요': 17, '양이 많아요': 15, '혼밥하기 좋아요': 12, '주차하기 편해요': 2, '특별한 날 가기 좋아요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}"
